<frozen runpy>:128: RuntimeWarning: 'src.experiments.run_experiment' found in sys.modules after import of package 'src.experiments', but prior to execution of 'src.experiments.run_experiment'; this may result in unpredictable behaviour
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1773232831.789484 3903869 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 21364 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
I0000 00:00:1773232834.023772 3903983 cuda_solvers.cc:175] Creating GpuSolver handles for stream 0x217e63b0
Creating model: src.models.stochastic_volatility.StochasticVolatilityModel
Generating 500 time steps...
  Observations transformed (e.g. log-space mode)
Creating filter: LEDHParticleFlowFilter
Running LEDHParticleFlowFilter...

  Step 1/500 | 3800.0 ms | elapsed 3.80s
  Step 2/500 | 141.5 ms | elapsed 3.94s
  Step 3/500 | 135.0 ms | elapsed 4.08s
  Step 4/500 | 142.2 ms | elapsed 4.22s
  Step 5/500 | 135.1 ms | elapsed 4.35s
  Step 6/500 | 137.7 ms | elapsed 4.49s
  Step 7/500 | 133.7 ms | elapsed 4.63s
  Step 8/500 | 135.0 ms | elapsed 4.76s
  Step 9/500 | 132.7 ms | elapsed 4.89s
  Step 10/500 | 142.2 ms | elapsed 5.04s
  Step 313/500 | 129.7 ms | elapsed 43.81s
  Step 314/500 | 125.7 ms | elapsed 43.94s
  Step 315/500 | 119.6 ms | elapsed 44.06s
  Step 316/500 | 122.4 ms | elapsed 44.18s
  Step 317/500 | 123.7 ms | elapsed 44.30s
  Step 318/500 | 128.1 ms | elapsed 44.43s
  Step 319/500 | 120.3 ms | elapsed 44.55s
  Step 320/500 | 128.8 ms | elapsed 44.68s
  Step 321/500 | 119.6 ms | elapsed 44.80s
  Step 322/500 | 122.3 ms | elapsed 44.92s
  Step 323/500 | 128.6 ms | elapsed 45.05s
  Step 324/500 | 122.5 ms | elapsed 45.17s
  Step 325/500 | 127.7 ms | elapsed 45.30s
  Step 326/500 | 120.9 ms | elapsed 45.42s
  Step 327/500 | 119.2 ms | elapsed 45.54s
  Step 328/500 | 118.8 ms | elapsed 45.66s
  Step 329/500 | 128.1 ms | elapsed 45.79s
  Step 330/500 | 120.1 ms | elapsed 45.91s
  Step 331/500 | 119.6 ms | elapsed 46.03s
  Step 332/500 | 119.3 ms | elapsed 46.15s
  Step 333/500 | 121.0 ms | elapsed 46.27s
  Step 334/500 | 121.1 ms | elapsed 46.39s
  Step 335/500 | 126.6 ms | elapsed 46.52s
  Step 336/500 | 126.3 ms | elapsed 46.64s
  Step 337/500 | 125.0 ms | elapsed 46.77s
  Step 338/500 | 118.6 ms | elapsed 46.89s
  Step 339/500 | 124.6 ms | elapsed 47.01s
  Step 340/500 | 120.3 ms | elapsed 47.13s
  Step 341/500 | 119.5 ms | elapsed 47.25s
  Step 342/500 | 120.8 ms | elapsed 47.37s
  Step 343/500 | 127.1 ms | elapsed 47.50s
  Step 344/500 | 121.5 ms | elapsed 47.62s
  Step 345/500 | 125.9 ms | elapsed 47.75s
  Step 346/500 | 130.4 ms | elapsed 47.88s
  Step 347/500 | 120.6 ms | elapsed 48.00s
  Step 348/500 | 120.0 ms | elapsed 48.12s
  Step 349/500 | 119.1 ms | elapsed 48.24s
  Step 350/500 | 125.5 ms | elapsed 48.36s
  Step 351/500 | 120.4 ms | elapsed 48.48s
  Step 352/500 | 120.9 ms | elapsed 48.60s
  Step 353/500 | 126.9 ms | elapsed 48.73s
  Step 354/500 | 121.4 ms | elapsed 48.85s
  Step 355/500 | 125.9 ms | elapsed 48.98s
  Step 356/500 | 120.7 ms | elapsed 49.10s
  Step 357/500 | 120.0 ms | elapsed 49.22s
  Step 358/500 | 120.8 ms | elapsed 49.34s
  Step 359/500 | 121.6 ms | elapsed 49.46s
  Step 360/500 | 122.9 ms | elapsed 49.58s
  Step 361/500 | 128.4 ms | elapsed 49.71s
  Step 362/500 | 123.5 ms | elapsed 49.83s
  Step 363/500 | 122.0 ms | elapsed 49.96s
  Step 364/500 | 120.1 ms | elapsed 50.08s
  Step 365/500 | 127.8 ms | elapsed 50.20s
  Step 366/500 | 122.0 ms | elapsed 50.33s
  Step 367/500 | 122.6 ms | elapsed 50.45s
  Step 368/500 | 121.8 ms | elapsed 50.57s
  Step 369/500 | 121.4 ms | elapsed 50.69s
  Step 370/500 | 128.1 ms | elapsed 50.82s
  Step 371/500 | 121.4 ms | elapsed 50.94s
  Step 372/500 | 125.1 ms | elapsed 51.07s
  Step 373/500 | 120.8 ms | elapsed 51.19s
  Step 374/500 | 119.3 ms | elapsed 51.31s
  Step 375/500 | 128.0 ms | elapsed 51.44s
  Step 376/500 | 123.5 ms | elapsed 51.56s
  Step 377/500 | 131.3 ms | elapsed 51.69s
  Step 378/500 | 122.8 ms | elapsed 51.81s
  Step 379/500 | 130.4 ms | elapsed 51.94s
  Step 380/500 | 121.9 ms | elapsed 52.07s
  Step 381/500 | 122.9 ms | elapsed 52.19s
  Step 382/500 | 125.9 ms | elapsed 52.31s
  Step 383/500 | 131.1 ms | elapsed 52.45s
  Step 384/500 | 119.5 ms | elapsed 52.56s
  Step 385/500 | 120.8 ms | elapsed 52.69s
  Step 386/500 | 121.4 ms | elapsed 52.81s
  Step 387/500 | 127.6 ms | elapsed 52.93s
  Step 388/500 | 121.6 ms | elapsed 53.06s
  Step 389/500 | 129.6 ms | elapsed 53.19s
  Step 390/500 | 123.3 ms | elapsed 53.31s
  Step 391/500 | 121.5 ms | elapsed 53.43s
  Step 392/500 | 122.4 ms | elapsed 53.55s
  Step 393/500 | 130.8 ms | elapsed 53.68s
  Step 394/500 | 123.2 ms | elapsed 53.81s
  Step 395/500 | 123.3 ms | elapsed 53.93s
  Step 396/500 | 122.5 ms | elapsed 54.05s
  Step 397/500 | 123.4 ms | elapsed 54.18s
  Step 398/500 | 122.5 ms | elapsed 54.30s
  Step 399/500 | 122.9 ms | elapsed 54.42s
  Step 400/500 | 121.3 ms | elapsed 54.54s
  Step 401/500 | 121.5 ms | elapsed 54.66s
  Step 402/500 | 122.1 ms | elapsed 54.79s
  Step 403/500 | 127.3 ms | elapsed 54.91s
  Step 404/500 | 121.6 ms | elapsed 55.04s
  Step 405/500 | 128.1 ms | elapsed 55.16s
  Step 406/500 | 120.6 ms | elapsed 55.28s
  Step 407/500 | 128.6 ms | elapsed 55.41s
  Step 408/500 | 123.7 ms | elapsed 55.54s
  Step 409/500 | 122.2 ms | elapsed 55.66s
  Step 410/500 | 126.7 ms | elapsed 55.79s
  Step 411/500 | 124.3 ms | elapsed 55.91s
  Step 412/500 | 123.7 ms | elapsed 56.03s
  Step 413/500 | 121.9 ms | elapsed 56.15s
  Step 414/500 | 126.5 ms | elapsed 56.28s
  Step 415/500 | 119.2 ms | elapsed 56.40s
  Step 416/500 | 127.9 ms | elapsed 56.53s
  Step 417/500 | 121.6 ms | elapsed 56.65s
  Step 418/500 | 123.7 ms | elapsed 56.77s
  Step 419/500 | 122.3 ms | elapsed 56.90s
  Step 420/500 | 121.8 ms | elapsed 57.02s
  Step 421/500 | 129.6 ms | elapsed 57.15s
  Step 422/500 | 122.4 ms | elapsed 57.27s
  Step 423/500 | 123.1 ms | elapsed 57.39s
  Step 424/500 | 122.5 ms | elapsed 57.52s
  Step 425/500 | 121.2 ms | elapsed 57.64s
  Step 426/500 | 119.8 ms | elapsed 57.76s
  Step 427/500 | 123.2 ms | elapsed 57.88s
  Step 428/500 | 122.0 ms | elapsed 58.00s
  Step 429/500 | 122.9 ms | elapsed 58.12s
  Step 430/500 | 122.0 ms | elapsed 58.25s
  Step 431/500 | 122.4 ms | elapsed 58.37s
  Step 432/500 | 128.0 ms | elapsed 58.50s
  Step 433/500 | 121.6 ms | elapsed 58.62s
  Step 434/500 | 127.8 ms | elapsed 58.75s
  Step 435/500 | 119.8 ms | elapsed 58.87s
  Step 436/500 | 120.3 ms | elapsed 58.99s
  Step 437/500 | 119.8 ms | elapsed 59.11s
  Step 438/500 | 119.9 ms | elapsed 59.23s
  Step 439/500 | 127.7 ms | elapsed 59.35s
  Step 440/500 | 121.6 ms | elapsed 59.48s
  Step 441/500 | 128.5 ms | elapsed 59.60s
  Step 442/500 | 123.2 ms | elapsed 59.73s
  Step 443/500 | 128.5 ms | elapsed 59.86s
  Step 444/500 | 128.6 ms | elapsed 59.98s
  Step 445/500 | 123.2 ms | elapsed 60.11s
  Step 446/500 | 130.3 ms | elapsed 60.24s
  Step 447/500 | 122.2 ms | elapsed 60.36s
  Step 448/500 | 123.1 ms | elapsed 60.48s
  Step 449/500 | 121.4 ms | elapsed 60.60s
  Step 450/500 | 127.7 ms | elapsed 60.73s
  Step 451/500 | 120.5 ms | elapsed 60.85s
  Step 452/500 | 120.9 ms | elapsed 60.97s
  Step 453/500 | 121.4 ms | elapsed 61.10s
  Step 454/500 | 122.0 ms | elapsed 61.22s
  Step 455/500 | 128.4 ms | elapsed 61.35s
  Step 456/500 | 121.3 ms | elapsed 61.47s
  Step 457/500 | 121.6 ms | elapsed 61.59s
  Step 458/500 | 127.9 ms | elapsed 61.72s
  Step 459/500 | 121.8 ms | elapsed 61.84s
  Step 460/500 | 120.4 ms | elapsed 61.96s
  Step 461/500 | 121.3 ms | elapsed 62.08s
  Step 462/500 | 130.4 ms | elapsed 62.21s
  Step 463/500 | 121.8 ms | elapsed 62.33s
  Step 464/500 | 130.6 ms | elapsed 62.46s
  Step 465/500 | 125.1 ms | elapsed 62.59s
  Step 466/500 | 129.4 ms | elapsed 62.72s
  Step 467/500 | 121.4 ms | elapsed 62.84s
  Step 468/500 | 124.4 ms | elapsed 62.96s
  Step 469/500 | 128.6 ms | elapsed 63.09s
  Step 470/500 | 123.2 ms | elapsed 63.21s
  Step 471/500 | 129.8 ms | elapsed 63.34s
  Step 472/500 | 126.4 ms | elapsed 63.47s
  Step 473/500 | 131.7 ms | elapsed 63.60s
  Step 474/500 | 125.2 ms | elapsed 63.73s
  Step 475/500 | 124.1 ms | elapsed 63.85s
  Step 476/500 | 127.2 ms | elapsed 63.98s
  Step 477/500 | 131.2 ms | elapsed 64.11s
  Step 478/500 | 121.2 ms | elapsed 64.23s
  Step 479/500 | 121.9 ms | elapsed 64.35s
  Step 480/500 | 128.8 ms | elapsed 64.48s
  Step 481/500 | 122.4 ms | elapsed 64.60s
  Step 482/500 | 121.0 ms | elapsed 64.73s
  Step 483/500 | 127.0 ms | elapsed 64.85s
  Step 484/500 | 121.9 ms | elapsed 64.97s
  Step 485/500 | 123.6 ms | elapsed 65.10s
  Step 486/500 | 126.6 ms | elapsed 65.22s
  Step 487/500 | 132.8 ms | elapsed 65.36s
  Step 488/500 | 133.2 ms | elapsed 65.49s
  Step 489/500 | 124.7 ms | elapsed 65.62s
  Step 490/500 | 132.1 ms | elapsed 65.75s
